question,id,short,PVDA,NVA,Vlaams Belang,Groen,Vooruit,Open VLD,CD&V
Q1,ST50,Diesel/bezinewagen na 2035,agree,agree,agree,disagree,disagree,disagree,agree
Q2,ST132,Hoofddoek achter loket,agree,disagree,disagree,agree,agree,agree,agree
Q3,ST136,Meer buslijnen,agree,disagree,agree,agree,agree,disagree,agree
Q4,ST11,Werkloosheid verliezen,disagree,agree,agree,disagree,disagree,agree,agree
Q5,ST308,Sociale media en fake news,disagree,agree,disagree,disagree,disagree,disagree,disagree
Q6,ST67,Abortus tot 18 weken,agree,disagree,disagree,agree,agree,agree,disagree
Q7,ST100,Kortere zomervakantie,disagree,disagree,disagree,agree,agree,agree,disagree
Q8,ST314,EU begrotingstekorten,agree,disagree,agree,agree,disagree,disagree,agree
Q9,ST114,Bouwen overstromingsgebied,agree,agree,disagree,agree,agree,agree,agree
Q10,ST42,Vervroegd vrijkomen,disagree,agree,agree,disagree,agree,disagree,agree
Q11,ST103,Dienstencheques duurder,disagree,disagree,disagree,agree,agree,agree,agree
Q12,ST326,EU democratische regels,agree,agree,disagree,agree,agree,agree,agree
Q13,ST115,Stikstofregels soepeler,agree,disagree,agree,disagree,disagree,agree,agree
Q14,ST26,Staking bedrijventerreinen,disagree,agree,agree,agree,agree,agree,agree
Q15,ST1,Belasting groot vermogen,agree,disagree,disagree,agree,agree,agree,agree
Q16,ST45,Camera's gezichtsherkenning,disagree,agree,agree,disagree,agree,disagree,agree
Q17,ST153,Stemmen verplicht blijven,agree,disagree,disagree,agree,agree,disagree,agree
Q18,ST329,EU intensieve veeteelt,agree,agree,disagree,agree,agree,disagree,disagree
Q19,ST62,Elke gemeente asielzoekers,disagree,disagree,disagree,agree,disagree,disagree,disagree
Q20,ST327,Oekraine bij EU,disagree,agree,disagree,agree,agree,agree,disagree
Q21,ST147,Huren privémarkt ondersteunen,disagree,disagree,disagree,disagree,disagree,agree,disagree
Q22,ST70,België uit NAVO,agree,disagree,disagree,disagree,disagree,disagree,disagree
Q23,ST52,Duurdere vliegtuigtickets,disagree,disagree,disagree,agree,agree,disagree,disagree
Q24,ST159,Geen misvieringen op VRT,agree,disagree,disagree,disagree,disagree,agree,disagree
Q25,ST64,Sociale zekerheid gesplitst,disagree,agree,agree,disagree,disagree,disagree,disagree
Q26,ST331,EU Israël en Palestina,disagree,disagree,agree,disagree,disagree,disagree,disagree
Q27,ST130,Geen moskeeën erkennen,disagree,disagree,agree,disagree,disagree,disagree,disagree
Q28,ST72,Schadevergoeding Congo,agree,disagree,disagree,disagree,disagree,disagree,disagree
Q29,ST97,Gratis schoolmaaltijden,agree,disagree,disagree,agree,agree,agree,disagree
Q30,ST134,Nederlands sociale woning,disagree,agree,agree,disagree,agree,agree,agree
Q31,ST143,Meer geld kleine gemeenten,disagree,disagree,agree,disagree,disagree,agree,agree
Q32,ST60,Inburgeringsexamen,disagree,agree,agree,disagree,agree,agree,agree
Q33,ST347,EU Chinese elektrische auto's,disagree,agree,agree,disagree,agree,agree,agree
Q34,ST49,Nieuwe kerncentrale,disagree,agree,agree,disagree,agree,agree,agree
Q35,ST5,Spaarrente verhogen,agree,agree,agree,agree,agree,disagree,agree
