from_party,to_party
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,Groen
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,Groen
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,Groen
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
PVDA,PVDA
