question,id,short,PVDA,NVA,Vlaams Belang,Groen,Vooruit,Open VLD,CD&V
Q1,ST50,Diesel/bezinewagen na 2035,3.842,2.543,4.683,3.447,2.826,3.948,2.872
Q2,ST132,Hoofddoek achter loket,0.643,1.334,1.981,0.472,0.924,1.045,0.933
Q3,ST136,Meer buslijnen,4.546,3.743,7.974,3.627,3.639,6.246,4.06
Q4,ST11,Werkloosheid verliezen,5.732,7.154,5.331,7.65,8.069,6.025,8.662
Q5,ST308,Sociale media en fake news,6.126,5.133,4.645,5.695,5.314,5.403,5.452
Q6,ST67,Abortus tot 18 weken,7.103,7.125,6.107,10.03,8.562,8.26,8.183
Q7,ST100,Kortere zomervakantie,2.609,4.366,5.275,3.91,4.939,4.587,6.489
Q8,ST314,EU begrotingstekorten,2.841,2.008,1.587,1.966,2.678,2.6,2.328
Q9,ST114,Bouwen overstromingsgebied,2.75,1.568,2.05,3.1,2.084,1.505,2.09
Q10,ST42,Vervroegd vrijkomen,3.016,6.121,4.654,2.252,5.361,3.693,2.523
Q11,ST103,Dienstencheques duurder,6.126,5.133,4.645,5.695,5.314,5.403,5.452
Q12,ST326,EU democratische regels,0.858,1.314,0.596,0.753,0.532,1.044,0.839
Q13,ST115,Stikstofregels soepeler,3.138,1.343,1.392,3.268,2.012,1.65,1.683
Q14,ST26,Staking bedrijventerreinen,6.126,5.133,4.645,5.695,5.314,5.403,5.452
Q15,ST1,Belasting groot vermogen,2.841,2.008,1.587,1.966,2.678,2.6,2.328
Q16,ST45,Camera's gezichtsherkenning,3.016,6.121,4.654,2.252,5.361,3.693,2.523
Q17,ST153,Stemmen verplicht blijven,0.858,1.314,0.596,0.753,0.532,1.044,0.839
Q18,ST329,EU intensieve veeteelt,5.766,4.531,4.758,5.374,2.891,5.84,4.102
Q19,ST62,Elke gemeente asielzoekers,0.643,1.334,1.981,0.472,0.924,1.045,0.933
Q20,ST327,Oekraine bij EU,0.858,1.314,0.596,0.753,0.532,1.044,0.839
Q21,ST147,Huren privémarkt ondersteunen,2.362,1.793,2.708,2.932,2.155,1.361,2.496
Q22,ST70,België uit NAVO,1.591,1.55,1.326,1.381,1.088,1.331,1.27
Q23,ST52,Duurdere vliegtuigtickets,3.138,1.343,1.392,3.268,2.012,1.65,1.683
Q24,ST159,Geen misvieringen op VRT,1.184,1.832,1.749,1.19,0.998,1.322,0.999
Q25,ST64,Sociale zekerheid gesplitst,3.295,4.234,2.964,4.201,4.3,3.535,4.751
Q26,ST331,EU Israël en Palestina,1.591,1.55,1.326,1.381,1.088,1.331,1.27
Q27,ST130,Geen moskeeën erkennen,0.643,1.334,1.981,0.472,0.924,1.045,0.933
Q28,ST72,Schadevergoeding Congo,1.591,1.55,1.326,1.381,1.088,1.331,1.27
Q29,ST97,Gratis schoolmaaltijden,2.609,4.366,5.275,3.91,4.939,4.587,6.489
Q30,ST134,Nederlands sociale woning,1.503,1.564,2.344,1.702,1.54,1.203,1.714
Q31,ST143,Meer geld kleine gemeenten,2.841,2.008,1.587,1.966,2.678,2.6,2.328
Q32,ST60,Inburgeringsexamen,0.643,1.334,1.981,0.472,0.924,1.045,0.933
Q33,ST347,EU Chinese elektrische auto's,1.591,1.55,1.326,1.381,1.088,1.331,1.27
Q34,ST49,Nieuwe kerncentrale,3.138,1.343,1.392,3.268,2.012,1.65,1.683
Q35,ST5,Spaarrente verhogen,2.841,2.008,1.587,1.966,2.678,2.6,2.328
