question,id,short,PS,Ecolo,Défi,MR,PTB,Les Engagés
Q1,ST1,Impôts grosses fortunes,agree,agree,agree,disagree,agree,agree
Q2,ST213,Examen d'intégration,disagree,disagree,disagree,agree,disagree,agree
Q3,ST70,Belgique dans l'OTAN,disagree,disagree,disagree,disagree,agree,disagree
Q4,ST49,Nouvelle centrale nucléaire,disagree,disagree,agree,agree,disagree,agree
Q5,ST66,Financement partis politiques,agree,agree,disagree,disagree,agree,disagree
Q6,ST45,Police reconnaissance faciale,disagree,disagree,disagree,agree,disagree,agree
Q7,ST21,Taxe voitures société,agree,agree,agree,disagree,agree,agree
Q8,ST247,Subsides RTBF,disagree,disagree,disagree,agree,disagree,disagree
Q9,ST67,Avortement 18 semaines,agree,agree,agree,undecided,agree,undecided
Q10,ST29,Jour de fermeture obligatoire,disagree,disagree,disagree,agree,disagree,agree
Q11,ST11,Chômeurs perdent allocations ,disagree,disagree,disagree,agree,disagree,agree
Q12,ST52,Taxe vols d'avion courts,agree,agree,agree,disagree,disagree,agree
Q13,ST217,Voile personnel administratif,agree,agree,disagree,disagree,agree,agree
Q14,ST227,Réduction dépenses Wallonie,disagree,disagree,agree,agree,disagree,agree
Q15,ST211,Facture maison de retraite,agree,agree,agree,disagree,agree,disagree
Q16,ST347,Import autos électriques Chine,agree,agree,agree,agree,disagree,agree
Q17,ST185,EVRAS obligatoire,agree,agree,agree,agree,disagree,agree
Q18,ST74,Plus d'argent dans l'armée,agree,disagree,agree,agree,disagree,agree
Q19,ST193,Subsides pour titres services,agree,disagree,disagree,disagree,agree,disagree
Q20,ST331,UE sur conflit en Palestine,disagree,disagree,agree,agree,disagree,disagree
Q21,ST209,Enfants non-vaccinés,disagree,disagree,disagree,agree,disagree,agree
Q22,ST323,Interdiction glyphosate UE,agree,agree,agree,disagree,agree,agree
Q23,ST32,INAMI obligatoire,agree,agree,agree,agree,agree,agree
Q24,ST50,Voitures essence diesel 2035,agree,disagree,agree,agree,agree,agree
Q25,ST26,Grévistes accês zonings,disagree,disagree,agree,agree,disagree,agree
Q26,ST346,Taxe produits de tabac,agree,agree,agree,agree,agree,disagree
Q27,ST178,Ecole choix élêves,disagree,disagree,disagree,agree,disagree,disagree
Q28,ST327,Ukraine dans l'UE,agree,agree,agree,agree,disagree,agree
Q29,ST201,Limite vitesse max 100 km/h,disagree,agree,disagree,disagree,disagree,disagree
Q30,ST59,Revenu d'intégration refugiés,disagree,disagree,disagree,agree,disagree,disagree
Q31,ST236,Taxe secondes résidences,disagree,agree,disagree,disagree,agree,disagree
Q32,ST176,Licenciement enseignants,disagree,disagree,disagree,agree,disagree,agree
Q33,ST19,Travaux d'intérêt général,disagree,disagree,disagree,agree,disagree,agree
Q34,ST338,Métiers en pénurie immigration ,agree,agree,agree,disagree,disagree,agree
Q35,ST221,Place des cyclistes sur routes,agree,agree,disagree,agree,agree,agree
