party,fold,num_wins
Défi,0,2411
Ecolo,0,1581
Les Engagés,0,1243
MR,0,2219
PS,0,850
PTB,0,1696
Ecolo,1,1597
MR,1,2224
PTB,1,1746
PS,1,884
Les Engagés,1,1265
Défi,1,2284
PTB,2,1705
Défi,2,2291
MR,2,2232
Les Engagés,2,1206
PS,2,937
Ecolo,2,1629
Défi,3,2286
Ecolo,3,1576
PS,3,931
MR,3,2219
PTB,3,1748
Les Engagés,3,1240
PTB,4,1752
Défi,4,2328
Les Engagés,4,1223
MR,4,2180
Ecolo,4,1674
PS,4,843
Défi,5,2355
Ecolo,5,1606
Les Engagés,5,1210
PTB,5,1726
PS,5,880
MR,5,2223
PTB,6,1670
Défi,6,2240
MR,6,2294
Les Engagés,6,1233
Ecolo,6,1659
PS,6,904
Défi,7,2328
Ecolo,7,1643
PS,7,905
MR,7,2240
Les Engagés,7,1168
PTB,7,1716
MR,8,2283
PTB,8,1757
Ecolo,8,1630
PS,8,821
Les Engagés,8,1181
Défi,8,2328
Les Engagés,9,1267
MR,9,2273
Ecolo,9,1626
Défi,9,2224
PTB,9,1747
PS,9,863
