question,id,short,PS,Ecolo,Défi,MR,PTB,Les Engagés
Q1,ST1,Impôts grosses fortunes,2.524,1.956,2.619,2.478,4.464,2.326
Q2,ST213,Examen d'intégration,0.459,0.717,0.459,0.692,0.595,0.408
Q3,ST70,Belgique dans l'OTAN,1.139,0.717,0.756,0.718,2.335,0.94
Q4,ST49,Nouvelle centrale nucléaire,1.603,3.66,1.961,1.879,2.743,2.709
Q5,ST66,Financement partis politiques,2.007,2.096,2.247,1.95,1.772,1.516
Q6,ST45,Police reconnaissance faciale,7.191,7.612,17.506,7.819,6.81,7.269
Q7,ST21,Taxe voitures société,3.089,2.436,2.652,2.972,4.034,2.624
Q8,ST247,Subsides RTBF,3.743,1.967,1.242,2.305,1.559,1.655
Q9,ST67,Avortement 18 semaines,6.18,7.574,5.397,3.824,4.495,5.418
Q10,ST29,Jour de fermeture obligatoire,3.654,2.916,2.684,3.465,3.604,2.923
Q11,ST11,Chômeurs perdent allocations ,2.751,2.703,1.889,2.113,2.106,2.814
Q12,ST52,Taxe vols d'avion courts,1.603,3.66,1.961,1.879,2.743,2.709
Q13,ST217,Voile personnel administratif,0.459,0.717,0.459,0.692,0.595,0.408
Q14,ST227,Réduction dépenses Wallonie,2.524,1.956,2.619,2.478,4.464,2.326
Q15,ST211,Facture maison de retraite,2.751,2.703,1.889,2.113,2.106,2.814
Q16,ST347,Import autos électriques Chine,1.139,0.717,0.756,0.718,2.335,0.94
Q17,ST185,EVRAS obligatoire,4.664,3.587,3.044,5.714,1.771,4.628
Q18,ST74,Plus d'argent dans l'armée,1.139,0.717,0.756,0.718,2.335,0.94
Q19,ST193,Subsides pour titres services,3.654,2.916,2.684,3.465,3.604,2.923
Q20,ST331,UE sur conflit en Palestine,1.139,0.717,0.756,0.718,2.335,0.94
Q21,ST209,Enfants non-vaccinés,3.708,3.145,2.467,3.913,1.939,3.721
Q22,ST323,Interdiction glyphosate UE,2.964,5.302,4.664,3.759,4.874,4.665
Q23,ST32,INAMI obligatoire,2.751,2.703,1.889,2.113,2.106,2.814
Q24,ST50,Voitures essence diesel 2035,2.977,3.929,3.621,3.556,3.326,4.463
Q25,ST26,Grévistes accês zonings,3.654,2.916,2.684,3.465,3.604,2.923
Q26,ST346,Taxe produits de tabac,3.654,2.916,2.684,3.465,3.604,2.923
Q27,ST178,Ecole choix élêves,4.664,3.587,3.044,5.714,1.771,4.628
Q28,ST327,Ukraine dans l'UE,2.007,2.096,2.247,1.95,1.772,1.516
Q29,ST201,Limite vitesse max 100 km/h,4.351,4.198,5.281,5.232,3.909,6.217
Q30,ST59,Revenu d'intégration refugiés,0.459,0.717,0.459,0.692,0.595,0.408
Q31,ST236,Taxe secondes résidences,3.556,4.328,5.04,4.331,5.294,3.774
Q32,ST176,Licenciement enseignants,4.159,3.252,2.864,4.589,2.688,3.776
Q33,ST19,Travaux d'intérêt général,2.751,2.703,1.889,2.113,2.106,2.814
Q34,ST338,Métiers en pénurie immigration ,0.459,0.717,0.459,0.692,0.595,0.408
Q35,ST221,Place des cyclistes sur routes,4.469,5.448,6.371,5.708,5.016,5.72
